module_code,module_name
ECOF201|P1|11,CLIN NURS PRAC IB: PRIMARY HEALTH CARE
CNTK102|I1|22,CLINICAL NURSING PROJECT IVB
HDEV101|D1|22,CONSTRUCTION TECHNOLOGY II
ORIB101|D1|22,CONSTRUCTION TECHNOLOGY IB
BSRR801|D3|22,CONSTRUCTION TECHNOLOGY IB
FMTA201|P1|22,CONSTRUCTION TECHNOLOGY IIIB
AVCD321|D1|22,COMMUNICATION NETWORKS 1
ITRL101|D1|22,CONTRACT MANAGEMENT
EVEM101|P1|22,COMMUNICATION NETWORKS
WATT802|D1|22,COMPUTER ORGANISATION AND ARCHITECTURE I
EDTB101|D1|22,CONSUMER BEHAVIOUR I
ACOL102|D1|22,CARRIAGE OF DANGEROUS CARGO
SKDB201|D1|22,CONSERVATION HORTICULTURE 4B
AFLZ102|D1|22,CONSERVATION HORTICULTURE 5B
ADFM802|D3|22,COMMERCIAL LAW FOR ACCOUNTANTS IB
PPMG101|P1|22,COMMERCIAL LAW FOR ACCOUNTANTS IIB
ROPS101|D1|22,COMMERCIAL LAW FOR ACCOUNTANTS IIB
ADTG301|P1|22,COMPUTER LITERACY
INTE802|D1|22,COST AND MANAGEMENT ACCOUNTING IB
ICTC101|D1|22,COST AND MANAGEMENT ACCOUNTING IIB
MMED203|D1|22,COMPOSITE MATERIALS
TAIP402|D1|22,COMMUNICATION DYNAMICS
SLMA201|I1|22,DIGITAL COMMUNICATION AND MULTIMEDIA
TRTB301|D1|22,COMMUNICATION IN ENGLISH
STHM401|D1|22,COMMUNICATION IN ENGLISH
RESC404|D1|22,COMMUNITY ENGAGEMENT
MPLN201|D1|22,COMMUNICATION IN ISIZULU II
LSKL201|I1|22,CONSTRUCTION TECHNOLOGY 2B
FCTN221|D1|22,COLOURATION THEORY 3
BIOR702|D1|22,COMPLEMENTARY THERAPY
LPPB201|D1|22,CLIN LAB PRAC II: CLIN PATH MOD B
TENE101|P1|22,CLIN NURS PRAC IA: MEDICAL & SERGICAL IA
PANP101|D1|22,CHIROPRACTIC PRINCIPLES & PRACTICE I
BCIF101|D1|22,CHIROPRACTIC PRINCIPLES & PRACTICE II
FRCH101|D1|22,CHIROPRACTIC PRINCIPLES AND PRACTICE IIIA
ERTB201|D1|22,CHIROPRACTIC PRINCIPLES AND PRACTICE IV B
DFIT101|I1|22,CAPSTONE PROJECT
SMAE802|D3|22,CAPACITY DEVELOPMENT II
TASM101|D1|22,COMPLEMENTARY THERAPY II
APPM101|D3|22,COMPUTER PROGRAMMING III
FICC202|D1|22,CONTINUAL QUALITY IMPROVEMENT VIII
MMGN402|D1|22,CHEMICAL QUALITY ASSURANCE
CVTE302|I1|22,COMMERCIAL LAW II
MAIN301|D1|22,CUSTOMER RELATIONS MANAGEMENT
INTFIAC|D6|11,CORPORATE PROCEDURES
MACT321|P1|22,CLINICAL RESPIRATORY
DSNP301|D1|22,CRITICAL THINKING
RFLL201|P1|22,COST ACCOUNTING 2B
CELB101|D1|22,CONSTRUCTION  MANAGEMENT DISERTATION 4B
ACCM301|D1|22,CULINARY STUDIES AND NUTRITION
MFBE102|I1|22,CORNERSTONE 101
WTRM301|D1|22,CORNERSTONE 101
GPTA101|D1|22,CORNERSTONE 101
ITIN101|D3|22,CONTRACT ADMINISTRATION
BSRR802|D1|22,CONSTRUCTION TECHNOLOGY 1B
CHST102|D1|22,CHEMICAL THERMODYNAMICS
BRRK802|D1|22,CONTAINER TERMINAL MANAGEMENT
SNGB201|D1|22,COMMUNICATION TECHNIQUES IB
HOFM301|D1|22,COMMUNICATION TECHNIQUES IIB
BIFS101|D3|22,COMMUNICATION TECHNIQUES IIIB
CSTN101|P1|22,CUSTOMER RELATIONS MANAGEMENT
TDNB101|D1|22,CIVIL ENGINNERING METHODS 1B
WRPR201|P1|22,CIVIL TECHNOLOGY II
BPRM221|D1|22,CIVIL TECHNOLOGY 102
IAUD802|D1|22,CIVIL TECHNOLOGY 201
MICR202|D1|22,CIVIL TECHNOLOGY 302
WLNB101|D1|22,CHILD AND YOUTH CARE WORK PRACTICE I
D & M ENG RESEARCH,CHILD AND YOUTH CARE WORK PRACTICE II
DRAP101|I1|22,CHILD AND YOUTH CARE WORK PRACTICE III
GDSD201|D1|22,CHILD AND YOUTH CARE WORK PRACTICE IV
SMTL201|D1|22,CHILD AND YOUTH CARE WORK IB
BAPP202|I1|22,CHILD AND YOUTH CARE WORK IIA
FDMR101|P3|22,CHILD AND YOUTH CARE WORK IIIB
SPCM201|P1|22,CYTOLOGY I
TENE101|D1|22,D & M ENG RESEARCH
ASES101|D1|22,DRAWING FOR ART AND DESIGN 1B
NENS101|D1|22,DENTAL ASSISTING PRACTICAL IB
PHGY201|D1|22,DENTAL ASSISTING THEORY IB
MCEC101|D1|22,DESIGN APPRECIATION 1
MTTB101|D1|22,DESIGN II
TRTP102|P1|22,APPLICATIONS DEVELOPMENT IB
FPPD501|D1|22,APPLICATIONS DEVELOPMENT
DINT321|D1|22,APPLICATIONS DEVELOPMENT IIIB
QUDO101|I1|22,SUBJECT DIDACTICS: FET
CDSP101|D1|22,SUBJECT DIDACTICS: FET
AUDI202|D1|22,SUBJECT DIDACTICS: FET
ICRE101|D1|22,SUBJECT DIDACTICS: FET
FIRP402|D3|22,SUBJECT DIDACTICS: FET
APHB201|D1|22,SUBJECT DIDACTICS: (FET) ENGLISH
IMTN321|P1|22,SUBJECT DIDACTICS: FET
HCIN301|D1|22,SUBJECT DIDACTICS: FET
ECNB201|D1|22,SUBJECT DIDACTICS: FET
GNSB202|I1|22,SUBJECT DIDACTICS: FET
EDRP811|D1|22,SUBJECT DIDACTICS: FET
CPPR111|D1|22,SUBJECT DIDACTICS: FET
INDO101|I1|22,SUBJECT DIDACTICS: FET
COLI101|D1|22,SUBJECT DIDACTICS: (FET) ISIZULU
ANMY201|D1|22,DIGITAL ELECTRONICS I A
COLA202|D1|22,DIGITAL ELECTRONICS I B
DFPS101|I1|22,DIAGNOSTIC IMAGING SCIENCE I
FACN121|P1|22,DIAGNOSTIC IMAGING SCIENCE II
JDDB101|D1|22,DIAGNOSTIC IMAGING 3
CNMB201|D1|22,DIAGNOSTIC IMAGING I
CCHB421|D1|22,DIAGNOSTIC IMAGING II
COMD101|D1|22,DIGITAL ELECTRONICS I A
ANCH101|D1|22,DIGITAL ELECTRONICS I
HCMP101|I1|22,DRAWING (intro to CAD)
FUBU101|P1|22,DIGITAL JOURNALISM 2B
GVRL401|P3|22,DIGITAL JOURNALISM 3B
PMGM102|D1|22,DIGITIZATION IN LIBRARIES
FAEN101|D1|22,DIAGNOSTICS IB
UIMS101|D1|22,DIAGNOSTICS 2B
NMPB101|D1|22,DESIGN PROJECT PART 2
MISS802|D1|22,DIAGNOSTIC PRACTICE & PROCEDURES IB
FCAB201|P1|22,DIAGNOSTIC PRACTICE & PROCEDURES IIB
TOCL501|D1|22,DIAGNOSTIC PRACTICE & PROCEDURES IIIB
PRIM201|P1|22,DIAGNOSTIC PRACTICE & PROCEDURES IVB
ACTB301|D1|22,CLINICAL DIAGNOSTIC PRACTICE & PROCEDURE
AMNF101|D1|22,DRY PROCESSING RESEARCH PROJECT
MAME502|D1|11,DIGITAL PHOTOGRAMMETRY AND REMOTE SENSING
MOLB301|D1|22,DRAWING APPLICATIONS
RMDS102|D1|22,DRAWING AND ILLUSTRATION I
THSB201|D1|22,DRAWING AND ILLUSTRATION II
STCS101|D1|22,DISASTER & RISK MANAGEMENT
PHYP301|D1|22,DESIGN PROJECT
MTLT102|D1|22,DISASTER MANAGEMENT
OPMA101|D1|22,DESIGN PROJECT
SCWK101|D1|22,DSP APPLICATIONS 4A
PRCX201|P1|22,DIGITAL SIGNAL PROCESSING IIIB
MCHM101|D1|22,DESIGN PROJECT II
INMA702|D1|22,DEVELOPMENT MANAGEMENT
POSC401|D1|22,DEVELOPMENT MANAGEMENT I
ASCE101|D1|22,DYNAMICS IN THE WORKPLACE
JWMB301|D1|22,DYNAMICS IN THE WORKPLACE
MGMT201|D1|22,ETHICS AND MEDICAL LAW
UPPB301|D1|22,ECONOMICS FOR THE BUILT ENVIRONMENT
HFMN307|D1|22,ELECTRONIC CIRCUIT DESIGN III
INET101|D1|22,ECOLOGY
ECNC201|D1|22,ECONOMICS I
ENTP802|P1|22,ECONOMICS II
RPJT101|D1|22,ECONOMICS 302
MAAC402|D1|22,ECONOMICS IIB
IHUR101|P1|22,ECONOMICS 2 (MICRO)
POSP101|D1|22,ECONOMICS
PFDV301|I1|22,ECOTOURISM PRACTICE 2
FNMG201|D1|22,ECOTOURISM PRACTICE II
DSPB301|D1|22,ECOTOURISM: BIOLOGY III
STAN201|D1|22,ECTF201|P1|21
CHPJ101|D1|22,ECOTOURISM BIOLOGY 3
PRDP402|D1|22,ECOTOURISM MARKETING I
ETPR101|P1|22,ECOTOURISM MARKETING II
CHRA101|D1|22,EDUCATION 201
IPLW201|D1|22,EDUCATION 302
VPRT102|D1|22,EDUCATION 402
PSLY101|D1|11,ELECTRONIC DESIGN PROJECT IIIB
PAMA301|D1|22,ENGINEERING DRAWING AND DESIGN
EPRT101|D1|22,ENGINEERING DESIGN AND RESEARCH PROJECT
PHGY121|D1|22,EDUCATIONAL THEATRE IB
PHYC401|D1|22,EDUCATIONAL THEATRE IIB
BIMP101|D1|22,EDUCATIONAL TECHNIQUES I
OPMA202|D1|22,EDUCATIONAL TECHNIQUES I
WILL101|D1|22,EDUCATIONAL THEATRE III B
AFLF102|D1|22,EDUCATION III
MMAT101|D1|22,EDUCATION IV
SCMD201|P1|22,EDUCATION TECHNIQUES I
EMFT303|D1|22,EDUCATION TECHNIQUES I
PENG101|D1|22,ECOTOURISM DEVELOPMENT III
ORIB201|D1|22,ENGINEERING GRAPHICS & DESIGN I
MCLB101|D1|22,ENGINEERING GRAPHICS & DESIGN II
SSCY101|D1|22,ENGINEERING GRAPHICS & DESIGN 302
WIAM201|E1|22,ENGINEERING GRAPHICS & DESIGN II
BCTE501|D1|22,ENGINEERING GRAPHICS & DESIGN III
BFND201|D1|22,ENGLISH FOR THE ARTS
QUTC101|P1|22,ESTATES AND GROUNDS MANAGEMENT IB
IDST101|D1|22,ECOTOURISM INTERPRETATION III
ADEN301|D1|22,INTRODUCTION TO ECOTOURISM FOR LOCAL DEVELOPMENT
BRPK802|D1|22,ELECTRICAL PRINCIPLES I
RPPC401|D1|22,ELECTRICAL PRINCIPLES 2
DFCT101|I1|22,ELECTRICAL TECHNOLOGY APPLICATIONS
APRE402|D1|22,ELECTRICAL TECHNOLOGY I
TMST101|D1|22,ELECTRICAL TECHNOLOGY II
CSNU101|D1|22,ELECTRICAL TECHNOLOGY 302
ECLG101|D1|22,ECOTOURISM MANAGEMENT 3
SBAJ501|D1|22,ECOTOURISM MANAGEMENT III
CMNA101|I1|22,ELECTRICAL MACHINES I
INFM201|D1|22,EMERGENCY MEDICAL CARE PRACTICAL I
NAAR402|D1|22,ECONOMICS
APSM801|D1|22,EMERGENCY MEDICAL CARE THEORY I
ADPB301|D1|22,ENVIRONMENTAL MANAGEMENT FOR TOURISM
CSMD802|D1|22,ENGINEERING MATHEMATICS 1B
ACLA802|D1|22,ENGINEERING MATHEMATICS 1B
PATT201|D1|22,ENGINEERING MATHEMATICS IIB
IRLP401|D1|22,ENGINEERING MATHEMATICS IIB
MACB301|D1|22,ENGINEERING CHEMISTRY 1B
INAD121|D1|22,ECONOMICS I (MODULE 2)
CEFB101|D1|22,ENVIRONMENTAL ENGINEERING
BSMB101|D1|22,ENGLISH FIRST ADDITION 102
FIAC302|D1|22,ENGLISH FIRST ADDITION II
DPRP502|D1|22,ENGLISH FIRST ADDITION 302
MDRC201|D1|22,ENGLISH FOR THE ARTS
PSCS101|D1|22,ENGLISH 202
CMLW221|D1|22,ENGLISH HOME LANGUAGE 1
WKPP101|D1|22,ENGLISH FIRST ADDITION II
RDVP101|D1|22,ENGLISH HOME LANGUAGE 302
PSCA101|I1|22,ENGINEERING MATHEMATICS 1A
MRSN201|D1|22,ENGINEERING MATHEMATICS 1B
TSST101|D1|22,ENGINEERING MANAGEMENT
FYSE|22,ENVIRONMENTAL POLLUTION III
MANA101|D1|22,ENTREPRENEUSHIP 2B
MAFA102|D1|22,ENTREPRENEURIAL SPIRIT
ESBM201|D1|22,ENGINEERING SURVEYING II
IMTG321|D1|22,ENTREPRENEURSHIP
TFMP202|P1|22,ENTREPRENEURSHIP
PRNM201|P1|22,ENTREPRENEURIAL SPIRIT
EMTB201|D1|22,ENVIRONMENTAL MANAGEMENTS
BRDM201|D1|22,ENVIRONMENTAL MANAGEMENT 2B
ECDS301|D1|22,ENVIRONMENTAL ENGINEERING
METE102|I1|22,EPIDEMIOLOGY I
HOMB402|D1|22,EPIDEMIOLOGY II
ADFM701|D3|22,ENGINEERING PHYSICS 1B
WERP301|D1|22,EPIDEMIOLOGY:  PUBLIC HEALTH
TOEP302|P1|22,ENTREPRENEURIAL STUDIES I
POPR201|D1|22,ELECTRICAL PROTECTION
FCNS201|D1|22,ECOTOURISM ENTREPRENEURSHIP
PPDV401|D1|22,EQUALITY AND DIVERSITY
TAXB201|D1|22,EQUALITY AND DIVERSITY
CADD102|D1|22,EQUALITY AND DIVERSITY
BCHS201|D1|22,EMERGENCY EMERGENCY MEDICAL CARE PRACTICAL IIB
NMPC401|D1|22,EMERGENCY EMERGENCY MEDICAL CARE PRACTICAL IIIB
RPRO402|D1|22,EMERGENCY EMERGENCY MEDICAL CARE PRACTICAL IVB
SWPP101|I1|22,EMERGENCY MEDICAL CARE IIB
ENHL302|I1|22,EMERGENCY MEDICAL CARE IIIB
MDWF202|I1|22,EMERGENCY MEDICAL CARE IVB
KNMA401|D1|22,ENTREPRENEURSHIP AND SMALL BUS  MAN 2B
LWLF101|P1|22,ESTATES TAXATION 4
PJMM201|D1|22,ESTATE PLANNING 5
RPRO101|D1|22,ETHICS AND MEDICAL LAW
THIA201|D1|22,ENTREPRENEURSHIP
ECNM101|D1|22,ENTREPRENEURSHIP
ALAG401|D3|22,ENVIRONMENTAL AWARENESS FOR HEATH CARE PRACTITIONERS
ACGL802|D3|22,EVENT MANAGEMENT
NUTI302|D1|22,ENVIRONMENTAL ENGINEERING
ACPR322|D1|22,ENVIRONMENTAL ENGINEERING
LPRA302|D1|22,EVENT MANAGEMENT
LGPL101|D1|22,EVENT MANAGEMENT
ACCH301|D1|22,EVENT MANAGEMENT
MCHM201|D1|22,ENVIRONMENTAL MANAGEMENT & TECHNIQUES 202
SSCM802|D3|22,ENVIRONMENTAL SUSTAINABILITY IIB
RTSC101|D1|22,ENVIRONMENTAL SCIENCE
EDTC102|I1|22,ENGINEERING WORK SYSTEMS I
PRGE802|D1|22,ENGINEERING WORK SYSTEMS III
APHS102|D1|22,EXERCISE PHYSIOLOGY 1
IECN101|P1|22,EXERCISE PHYSIOLOGY 2
APRC201|P1|22,FOOD AND BEVERAGE STUDIES 201
FACB301|D1|22,FINANCIAL ACCOUNTING I B
OPEN101|D3|22,FINANCIAL ACCOUNTING I B
DPPB201|D1|22,FINANCIAL ACCOUNTING 2B
MMED302|D1|11,FINANCIAL ACCOUNTING 2B
MYCL101|D1|22,FINANCIAL ACCOUNTING 3B
RSPJ802|D1|22,FINANCIAL ACCOUNTING III B
TSCI302|I1|22,FINANCIAL ACCOUNTING I (MODULE 2)
FYSE101|I1|CIVIL,FINANCIAL ACCOUNTING II (MODULE 1)
ADAD702|D3|22,FINANCIAL ACCOUNTING II (MODULE 2)
BSFD101|D1|22,FINANCIAL ACCOUNTING III (MODULE 2)
MDRC101|D1|22,FINANCIAL ACCOUNTING FOR ENGINEERS
PRMA301|D1|22,FOOD AND NUTRITION PRACTICE 2
PLSB201|D1|22,FOOD AND NUTRITION
ORGM302|D1|22,FASHION TECHNOLOGY
IHST101|D1|22,FILM AND VIDEO APPRECIATION 2
CGBE101|D3|22,FILM AND VIDEO APPRECIATION 3
ITPC101|P1|22,FINANCIAL ACCOUNTING 2B
PRCE101|D1|22,FINANCIAL ACCOUNTING IB
TRTD101|D1|22,FINANCIAL ACCOUNTING 2B
ENEN802|D1|22,FINANCIAL ACCOUNTING III B
BPRM321|D1|22,FOOD CHEMISTRY II
SCCS201|D1|22,FACILITIES MANAGEMENT
HRPR101|P1|22,FUNDAMENTALS OF CONTROL SYSTEMS II
AEVM401|P1|22,FINANCIAL ACCOUNTING IB
THFL101|D1|22,FINANCIAL ACCOUNTING II MODULE II
CACC221|P1|22,FINANCIAL ACCOUNTING III MODULE II
LDSH101|D1|22,FOOD BIOTECHNOLOGY
ACTB101|D1|22,FOOD LEGISLATION
ICMS101|D1|22,FUNDAMENTALS OF RESEARCH
RPAU802|D1|22,FUNDAMENTALS OF RESEARCH
SAQM301|D1|22,FOOD PROCESS ENGINEERING II
ASTM802|P1|22,FOOD QUALITY ASSURANCE I
PAMA101|D1|22,FINANCE FOR MANAGERS
REME401|P1|21,FIELD GUIDING
HULT802|D1|22,FOOD HYGIENE II
RSLP802|D1|22,FOOD HYGIENE III
WIAM101|E1|22,FINANCIAL ACCOUNTING 102
ADCY402|D1|22,FINANCIAL ACCOUNTING 202
SKDB101|D1|22,FINANCIAL ACCOUNTING 302
MIPJ101|D1|22,FINANCIAL ACCOUNTING IB
BISP302|I1|22,FINANCIAL ACCOUNTING IIB
DFBS101|I1|22,FINANCIAL MANAGEMENT II
CYCP102|D1|22,FINANCIAL LITERACY
INAU202|D1|22,FINANCIAL MANAGEMENT 4B
ROMB301|D1|22,FIRE402 FINANCIAL REPORTING 4B
FIAC102|D1|22,FINANCIAL REPORTING 4B
DADB101|D1|22,FINANCIAL REPORTING 4B
LWCP201|D1|22,FOOD MICROBIOLOGY III
BSPH101|D1|22,FINANCIAL MANAGEMENT
INCM802|D3|22,FINANCIAL MANAGEMENT 2 AUGMENTED
DGEB101|D1|22,FUNDAMENTALS OF RESEARCH
TAOW401|D1|22,FINANCE FOR NON-FINANCIAL MANAGERS
PHBB101|D1|22,FINANCIAL LITERACY
PRJO302|D1|22,FINANCIAL LITERACY
QMNS101|D1|22,FINANCIAL MANAGEMENT IV (MODULE 2)
SPAT102|D1|22,FOOD AND NUTRITION PROJECT MANAGEMENT
DRIL101|D1|22,FOOD AND NUTRITION RESEARCH PROJECT
PRJO202|D1|22,FOOD AND NUTRITION TRAINING
CLTP101|D1|22,FUNDAMENTALS OF NETWORKS II
EAML202|I1|22,FUNDAMENTALS OF ORGANISATIONAL BEHAVIOUR
GEPA201|D1|22,APPLICATIONS IN FOOD BIOTECHNOLOGY
APDB101|D1|22,FRONT OFFICE OPERATIONS
QAFE802|D1|22,FOOD AND FOOD SCIENCE
ACPR312|D1|22,FUNDAMENTALS OF ORGANISATIONAL BEHAVIOUR
CMAC221|P1|22,FOOD TOXICOLOGY
RCPY101|D1|22,FOOD PROCESS ENGINEERING
PRTE102|D1|22,FINAL PROJECT AND PORTFOLIO
YSTH301|D1|22,FOOD PRODUCTION AND SERVICE OPERATIONS IB
ELTA101|D1|22,FOOD PRODUCTION AND SERVICE OPERATIONS
GVST321|D1|22,FOOD PRODUCTION SERVICE OPERATIONS 3A
PJEM201|D1|22,FOOD QUALITY ASSURANCE
APFM101|D1|22,INTRODUCTION TO FRENCH
ERPB201|D1|22,FRENCH II
INSD201|I1|22,FRENCH 402
RFEB301|D1|22,FOOD RETAIL OPERATION 1
FACN211|P1|21,FOOD: SCIENCE AND PRACTICE IB
AFLX202|D1|22,FOOD:SCIENCE AND PRACTICE 2B
ISYD101|D1|22,FOOD: SCIENCE AND PRACTICE 3B
OEFC201|D3|22,FOOD SCIENCE AND TECHNOLOGY II
EPRN101|D1|22,FOOD SAFETY AND TOXICOLOG
SCRP302|D1|22,FUNDAMENTALS OF BUSINESS ADMINISTRATION
SAMA301|D1|22,FUNDAMENTAL NURSING SCIENCE IB
PYSB101|D1|22,FUNDAMENTALS OF WRITING FOR MEDIA
RESC301|D1|22,FIRST YEAR STUDENT EXPERIENCE
BULA501|D1|22,FIRST YEAR STUDENT EXPERIENCE
ADNB101|D1|22,FIRST YEAR STUDENT EXPERIENCE
PROP401|P1|22,FIRST YEAR STUDENT EXPERIENCE - CIVIL
ANLE101|D1|22,FIRST YEAR STUDENT EXPERIENCE - EDUC SEM 2
BHVM401|D1|22,GARMENT DESIGN AND DEVELOPMENT I
TETP201|D1|22,GARMENT DESIGN AND DEVELOPMENT II
SASL102|D1|22,GLOBAL ENVIRONMENTAL ISSUES
TAXA221|P1|22,THE GLOBAL ENVIRONMENT
APRO401|D3|22,THE GLOBAL ENVIRONMENT
SUHO402|D1|22,GEOTECHNICAL ENGINEERING IIB
HRTA301|D1|22,GENERAL PATHOLOGY
LIPB301|D1|22,GEOGRAPHIC INFORMATION SYSTEMS I
ENPL301|D1|22,GEOGRAPHIC INFORMATION SYSTEMS IV
ADFM701|D1|22,GLOBALISATION & INT TRADE LAW
CRPP302|D1|22,GLOBAL BUSINESS ENVIRONMENT
QUDO202|I1|22,THE GLOBAL ENVIRONMENT
PRJB301|D1|22,GLOBAL & PROFESSIONAL PRACTICE
SPRP301|D1|22,GEOMATICS IB
RPDV101|D1|22,GUIDING IN THE NATURAL ENVIRONMENT
LGTM101|P1|22,GENERAL NURSING SCIENCE IIB
BCIL101|P1|22,GENERAL PATHOLOGY
DVLP101|D1|22,GENERAL PATHOLOGY IA
EDRD101|D1|22,GROSS ANATOMY MODULE B
EMTB202|D1|22,GRAPHICS 3
INDE802|D1|22,GREEN ENGINEERING
ESTA401|D1|22,GRAPHICS III
RASS101|D1|22,GRAPHIC TECHNIQUES & TECHNOLOGY I
TCHL101|D1|22,GOVERNMENT RELATIONS IV
UPTP101|D1|22,GRAPHIC VISUALISATION & TECH II (PART 2)
ECTM101|P1|11,GRAPHIC VISUALISATION & TECH 302
LWLF101|D3|22,HIV AND COMMUNICABLE DISEASES IN KZN
ACAQULI|D6|11,HUMAN COMPUTER INTERACTION
SCPS201|D1|22,HEALTHCARE MANAGEMENT PRACTISE I
TWBL201|D1|22,HUMAN COMPUTER INTERACTION III
SRSC101|D1|22,HUMAN DEVELOPMENT IA
PCSC101|D1|22,HUMAN DEVELOPMENT IIB
CPRO101|I1|22,HUMAN DEVELOPMENT IIIB
APRM401|P1|22,HUMAN DEVELOPMENT IVB
ADQT802|D1|22,HOSPITALITY FINANCIAL MANAGEMENT 101
CAIS102|D1|22,HOSPITALITY FINANCIAL MANAGEMENT III
FFMN201|D1|22,HOSPITALITY INDUSTRY LAW
CADA201|D1|22,HEALTH INFORMATION MANAGEMENT
JWMB101|D1|22,CLIN LAB PRAC II:  HISTOPATHOLOGY IIB
POPR301|D1|22,HISTOLOGY
IMAC101|D3|22,HIV & COMMUNICABLE DISEASED IN KZN
DFTM101|I1|22,HORTICULTURAL AND LANDSCAPE OPERATIONS I
PLDS221|D1|22,HOMOEOPATHIC PHARMACY
EVSB201|D1|22,HUMAN RESOURCE MANAGEMENT I
OHSF201|D1|22,HUMAN RESOURCE MANAGEMENT II
NMPA101|D1|22,HAEMATOLOGY I
TPFM101|D3|22,HOSPITALITY FINANCIAL MANAGEMENT
LBTM101|D1|22,HOSPITALITY INNOVATIONS
PRPR401|D1|22,HOSPITALITY MANAGEMENT 301
ADFM402|D3|22,HORTICULTURAL OPERATIONS MANAGEMENT 4B
BRMD101|D1|22,HORTICULTURE RESEARCH PROJECT
CYCW101|D1|22,HOSPITALITY WORKPLACE PRACTICE
PBLF301|P3|22,HISTORY OF PHOTOGRAPHY  IB
BRPN802|P1|22,HISTORY OF PHOTOGRAPHY IIB
PAMA201|D1|22,HISTOPATHOLOGY I
LGTS201|D1|22,HUMAN RESOURCE MANAGEMENT I
EVMP202|P1|22,HUMAN RESOURCE MANAGEMENT II
NENS301|D1|22,HUMAN RESOURCES MAN PRESENTATION
CLDV101|D1|22,HUMAN RESOURCES MAN PRESENTATION
CLPA501|D1|22,HUMAN RESOURCES MGT PRESENTATION
DGNT331|D1|22,HORTICULTURE IIIA
CLAW101|P1|22,HORTICULTURE IB
2DSB101|D1|22,HORTICULTURE IIB
CSTN101|I1|22,HEALTH SCIENCE RESEARCH I
ACCN102|I1|22,HEALTH SCIENCE RESEARCH II
MVSL101|D1|22,HEALTH SCIENCE RESEARCH IIIB
MYAT311|D1|22,HISTOLOGY
ICTI101|P1|22,HISTORY AND THEORY OF DESIGN IIIB
FNDR101|D1|22,HISTORY AND THEORY OF DESIGN I
GLPP402|D1|22,HUMAN ENVRIONMENT NEEDS 101
FQUA101|D1|22,HUMAN LANGUAGE TECHNOLOGY
MYCL201|D1|22,HIV AND COMMUNICABLE DISEASES IN KZN
PJMA201|P1|22,HIGH VOLTAGE SYSTEMS
CIVM101|I1|22,HYGEINE AND SAFETY
